Calculated Name	ID Prefix	SRP ID	Syriaca.org URI's	Existing VIAF matched & edited	Not found in Syriac VIAF	New Extended Viaf Record Created	VIAF Record Exists?	Extended VIAF URL	Is a work?	Anonymous?	Shares attribution with	Part of pseudonymous author	Extended VIAF ID	Entry Notes/Comments	Follow-up	Log	Disambiguation	Disambiguation URLs	For Post-Publication Review	Record Description	Questions about Comprehensive VIAF URL matching	Not found in Comprehensive VIAF	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	Name split needs checking	Name split checked	GEDSH en-Start Pg	GEDSH en-Raw	GEDSH en-Entry Num	GEDSH en-Full	GEDSH en-Given	GEDSH en-Family	GEDSH en-Titles	Not an author or work	No Barsoum entry	Double Checked that there is no corresponding entry in Barsoum	Date Needs Checking	GEDSH en-DOB	GEDSH en-DOB Standard	GEDSH en-DOB Not Before	GEDSH en-DOB Not After	GEDSH en-DOD	GEDSH en-DOD Standard	GEDSH en-DOD Not Before	GEDSH en-DOD Not After	GEDSH en-Floruit	GEDSH en-Floruit Standard	GEDSH en-Floruit Not Before	GEDSH en-Floruit Not After	GEDSH en-Reign	GEDSH en-Reign Begin	GEDSH en-Reign Begin Standard	GEDSH en-Reign Begin Not Before	GEDSH en-Reign Begin Not After	GEDSH en-Reign End	GEDSH en-Reign End Standard	GEDSH en-Reign End Not Before	GEDSH en-Reign End Not After	GEDSH en-Name Place	GEDSH en-Name Place URI	GEDSH en-Birth Place URI	GEDSH en-Death Place URI	GEDSH en-Other Place URI	Retroversion of Syriac name from GEDSH	GEDSH Entry Entered	Barsoum en-Entry Num	Barsoum en-Page Num	Barsoum en-Raw	Barsoum en-Full	Barsoum en-Given	Barsoum en-Family	Barsoum en-Titles	Barsoum ar-Page Num	Barsoum ar-Full	Barsoum ar-Given	Barsoum ar-Family	Barsoum ar-Titles	Barsoum Ar Entered	Barsoum ar-Notes	Barsoum Birthplace	Barsoum en-DOD	Barsoum en-DOD Standard	Barsoum en-DOD Not Before	Barsoum en-DOD Not After	Barsoum en-Floruit	Barsoum en-Floruit Standard	Barsoum en-Floruit Not Before	Barsoum en-Floruit Not After	Barsoum en-Century	Barsoum en Name Place	Barsoum en Name Place URI	Barsoum en Birthplace URI	Barsoum en Death Place URI	Barsoum en Other Place URI	Barsoum syr-Page Num	Barsoum syr-NV Full	Barsoum syr-NV Given	Barsoum syr-NV Family	Barsoum syr-NV Titles	Barsoum syr-V Full	Barsoum syr-V Given	Barsoum syr-V Family	Barsoum syr-V Titles	Necessary Corrections	Authorized syr-Source	Authorized syr-NV Full	Authorized syr-NV Given	Authorized syr-NV Family	Authorized syr-NV Titles	Authorized syr-Needs Review	Abdisho YdQ syr-NV Full	Abdisho YdQ syr-NV Given	Abdisho YdQ syr-NV Family	Abdisho YdQ syr-NV Titles	Abdisho YdQ syr-V Full	Abdisho YdQ syr-V Given	Abdisho YdQ syr-V Family	Abdisho YdQ syr-V Titles	Abdisho YdQ syr-Page Num	Abdisho BO syr-NV Full	Abdisho BO syr-NV Given	Abdisho BO syr-NV Family	Abdisho BO syr-NV Titles	Abdisho BO syr-V Full	Abdisho BO syr-V Given	Abdisho BO syr-V Family	Abdisho BO syr-V Titles	Abdisho BO syr-Page Num	Syriac Entered	GS en-Full	GS en-Given	GS en-Family	GS en-Titles	Other en-Full	Other en-Given	Other en-Family	Other en-Titles	Extended VIAF Updated	Extended VIAF needs correction	CBSC en-Full	CBSC en-Link	VIAF-Dates Raw	VIAF-DOB	VIAF-DOB Standard	VIAF-DOD	VIAF-DOD Standard	Display Date	Original Sort Order	Merge Row Number
Epiphanius of Salamis	SRP	477	http://syriaca.org/person/477	NG			YES	http://viaf.org/hosted/syriac/28576					28576										http://viaf.org/viaf/13651211	http://worldcat.org/identities/lccn-n82-39938	http://viaf.org/viaf/88910512	http://viaf.org/viaf/241745185	http://viaf.org/viaf/234187360	http://viaf.org/viaf/201812013	http://viaf.org/viaf/188049327																	199. Epiphanius of Salamis	199	Epiphanius of Salamis	Epiphanius		of Salamis		JW	Mentioned on p.88 & al. - TAC						403	0403																										St. Epiphanius, metropolitan of Cyprus	Epiphanius		St., metropolitan of Cyprus	85	مار ابيفانيوس مطران قبرص	ابيفانيوس		مار, مطران قبرص	TAC																		ܡܪܝ ܐܦܝܦܐܢܝܘܣ ܡܛܪܘܦܘܠܝܛܐ ܕܩܘܦܪܘܣ	ܐܦܝܦܐܢܝܘܣ		ܡܪܝ, ܡܛܪܘܦܘܠܝܛܐ ܕܩܘܦܪܘܣ	ܡܳܪܝ ܐܰܦܝܦܰܐܢܝܘܣ ܡܶܛܪܘܦܘܠܝܛܐ ܕܩܘܦܪܘܣ	ܐܰܦܝܦܰܐܢܝܘܣ		ܡܳܪܝ, ܡܶܛܪܘܦܘܠܝܛܐ ܕܩܘܦܪܘܣ		Other	ܐܦܝܦܐܢܝܘܣ ܕܩܘܦܪܘܣ	ܐܦܝܦܐܢܝܘܣ		ܕܩܘܦܪܘܣ		ܐܦܝܦܢܘܣ	ܐܦܝܦܢܘܣ			ܐܲܦܝܼܦܵܢܘܿܣ	ܐܲܦܝܼܦܵܢܘܿܣ			68	ܐܦܝܦܢܝܘܣ	ܐܦܝܦܢܝܘܣ			ܐܶܦܺܝܦܰܢܝܳܘܣ	ܐܶܦܺܝܦܰܢܝܳܘܣ			42	TAC										Need to enter Arabic - TAC 9/17/2012	Epiphanius	http://www.csc.org.il/db/browse.aspx?db=SB&sL=E&sK=Epiphanius&sT=keywords	315.00.00-403.00.00		0315		0403	403	416	324
Euphemia	SRP	479	http://syriaca.org/person/479		NG		NO		NG	NG				I split this into two records -- one for Euphemia and one for the author of the account. This one is for Euphemia.								AV																					NG			201. Euphemia and the Goth	201	Euphemia	Euphemia				JW	Mentioned on p.174 - TAC																															174		Euphemia the martyr	Euphemia		the martyr	151	اوفيمية الشهيدة	اوفيمية		الشهيدة	TAC																		ܐܘܦܝܡܝܐ ܣܗܕܬܐ	ܐܘܦܝܡܝܐ		ܣܗܕܬܐ	ܐܰܘܦܺܝܡܝܰܐ ܣܳܗܕܬܐ	ܐܰܘܦܺܝܡܝܰܐ		ܣܳܗܕܬܐ		Other	ܐܘܦܝܡܝܐ	ܐܘܦܝܡܝܐ																																Need to enter Arabic - TAC 9/17/2012	St Euphemia	http://www.csc.org.il/db/browse.aspx?db=SB&sL=S&sK=St Euphemia&sT=keywords							417	
Eusebius of Caesarea	SRP	480	http://syriaca.org/person/480	NG			YES	http://viaf.org/hosted/syriac/34519					34519	Merged with http://viaf.org/hosted/syriac/32229									http://viaf.org/viaf/4929593	http://worldcat.org/identities/lccn-n79-150225	http://viaf.org/viaf/50988089	http://worldcat.org/identities/lccn-n97-860584	http://viaf.org/viaf/246710179	http://viaf.org/viaf/216886098	http://viaf.org/viaf/207877538	http://viaf.org/viaf/192502340	http://viaf.org/viaf/97107563	http://viaf.org/viaf/88876431	http://viaf.org/viaf/2857919	http://viaf.org/viaf/204551666												202. Eusebius of Caesarea	202	Eusebius of Caesarea	Eusebius		of Caesarea		JW	Mentioned on p.200 #7 - TAC		ca. 260	0260			ca. 340	0340																														171	اوسابيوس القيسري	اوسابيوس		القيسري	TAC																		ܐܘܣܐܒܝܘܣ ܕܩܣܪܝܐ	ܐܘܣܐܒܝܘܣ		ܕܩܣܪܝܐ	ܐܽܘܣܰܐܒܺܝܘܣ ܕܩܶܣܰܪܝܐ	ܐܽܘܣܰܐܒܺܝܘܣ		ܕܩܶܣܰܪܝܐ		Abdisho						ܐܘܣܒܝܣ ܕܩܣܪܝܐ	ܐܘܣܒܝܣ		ܕܩܣܪܝܐ	ܐܹܘܣܹܒܝܼܣ ܕܩܹܣܲܪܝܵܐ	ܐܹܘܣܹܒܝܼܣ		ܕܩܹܣܲܪܝܵܐ	64	ܐܘܣܒܝܘܣ ܕܩܣܪܝܐ	ܐܘܣܒܝܘܣ		ܕܩܣܪܝܐ	ܐܶܘܣܶܒܝܳܘܣ ܕܩܶܣܰܪܝܰܐ	ܐܶܘܣܶܒܝܳܘܣ		ܕܩܶܣܰܪܝܰܐ	18	TAC										Need to enter Arabic - TAC 9/17/2012	Eusebius of Caesarea	http://www.csc.org.il/db/browse.aspx?db=SB&sL=E&sK=Eusebius of Caesarea&sT=keywords	260.00.00-ca 340.00.00		0260		0340	ca. 340	418	323
Eusebius of Emesa	SRP	481	http://syriaca.org/person/481		NG		NO	http://viaf.org/viaf/267227527													http://viaf.org/viaf/214064739		http://viaf.org/viaf/209789673																							203. Eusebius of Emesa	203	Eusebius of Emesa	Eusebius		of Emesa		JW	Mentioned on pp.201, #8 - TAC		ca. 300	0300			before 359			0358				358																				Eusebius of Edessa, bishop of Ḥomṣ	Eusebius		of Edessa, bishop of Ḥomṣ	171	اوسابيوس الرهاوي اسقف حمص	اوسابيوس		الرهاوي اسقف حمص	TAC																		ܐܘܣܐܒܝܘܣ ܐܘܪܗܝܐ ܐܦܝܣܩܘܦܐ ܕܚܡܨ	ܐܘܣܐܒܝܘܣ		ܐܘܪܗܝܐ ܐܦܝܣܩܘܦܐ ܕܚܡܨ	ܐܘܣܰܐܒܝܘܣ ܐܘܽܪܗܳܝܐ ܐܶܦܝܣܩܘܦܐ ܕܰܚܡܶܨ	ܐܘܣܰܐܒܝܘܣ		ܐܘܽܪܗܳܝܐ ܐܶܦܝܣܩܘܦܐ ܕܰܚܡܶܨ		Abdisho						ܐܘܣܒܝܣ ܚܡܨܝܐ	ܐܘܣܒܝܣ		ܚܡܨܝܐ	ܐܹܘܣܹܒܝܼܣ ܚܸܡܨܵܝܵܐ	ܐܹܘܣܹܒܝܼܣ		ܚܸܡܨܵܝܵܐ	68	ܐܘܣܒܝܘܣ ܚܡܨܝܐ	ܐܘܣܒܝܘܣ		ܚܡܨܝܐ	ܐܶܘܣܶܒܝܳܘܣ ܚܶܡܨܳܝܳܐ	ܐܶܘܣܶܒܝܳܘܣ		ܚܶܡܨܳܝܳܐ	44	TAC										Need to enter Arabic - TAC 9/17/2012	Eusebius of Emesa	http://www.csc.org.il/db/browse.aspx?db=SB&sL=E&sK=Eusebius of Emesa&sT=keywords						before 359	419	
Eutyches	SRP	482	http://syriaca.org/person/482		NG		NO														http://viaf.org/viaf/20026284	?																								204. Eutyches	204	Eutyches	Eutyches			?	JW	Mentioned on p.245, #27 - TAC		ca. 378	0378			ca. 454	0454																														211	اوطاخي	اوطاخي			TAC																		ܐܘܛܘܟܐ	ܐܘܛܘܟܐ			ܐܰܘܛܽܘܟܶܐ	ܐܰܘܛܽܘܟܶܐ				Barsoum																																		Need to enter Arabic - TAC 9/17/2012								ca. 454	760	
Evagrius of Pontus	SRP	483	http://syriaca.org/person/483	NG			YES	http://viaf.org/hosted/syriac/25300					25300										http://viaf.org/viaf/58103843	http://worldcat.org/identities/lccn-n86-119200	http://viaf.org/viaf/194620468																					205. Evagrius of Pontus	205	Evagrius of Pontus	Evagrius		of Pontus		JW	Mentioned on p.436, #5 - TAC		345	0345			399	0399																										Euagrius Pontius	Euagrius		Pontius	387	اوغريوس البنطي	اوغريوس		البنطي	TAC	Matti Moosa's transcription is unique!																	ܐܘܓܪܝܣ ܦܘܐܝܛܐ	ܐܘܓܪܝܣ		ܦܘܐܝܛܐ	ܐܶܘܰܓܪܺܝܣ ܦܘܐܝܺܛܐ	ܐܶܘܰܓܪܺܝܣ		ܦܘܐܝܺܛܐ	Fix Moosa's solecism; ܦܘܐܝܛܐ is also wrong - TAC	Abdisho						ܐܘܓܪܝܣ	ܐܘܓܪܝܣ			ܐܹܘܲܓܪܝܼܣ	ܐܹܘܲܓܪܝܼܣ			68	ܐܘܓܪܝܣ	ܐܘܓܪܝܣ							45	TAC										Need to enter Arabic - TAC 9/17/2012	Evagrius	http://www.csc.org.il/db/browse.aspx?db=SB&sL=E&sK=Evagrius&sT=keywords	345.00.00-399.00.00		0345		0399	399	420	322
Fatḥallāh, Elias	SRP	487	http://syriaca.org/person/487		NG		NO							Fl. 1770-1798								AV																								210. Fatḥallāh, Elias	210	Fatḥallāh, Elias	Elias	Fatḥallāh			JW	TAC										1770-1798																																																																																								Fatḥallāh, Elijah	Elijah	Fatḥallāh											1770-1798	421	
Fāʾiq, Naʿʿūm	SRP	304	http://syriaca.org/person/304		JW	JW	YES	http://viaf.org/hosted/syriac/38351					38351	Corrected typo in last name: Fa‚iq to Fa'iq - TAC									http://viaf.org/viaf/16481545																							208. Fāʾiq, Naʿʿūm	208	Fāʾiq, Naʿʿūm	Naʿʿūm	Fāʾiq						ca. 1868	1868			1930	1930																							291	523	Deacon Na‛‛um Fa'iq	Deacon Na‛‛um Fa'iq	Na‛‛um Fa'iq		Deacon	468	الشماس نعوم فائق	نعوم فائق		الشماس	JK			1930	1930													500	ܡܫܡܫܢܐ ܢܥܘܡ ܦܐܝܩ	ܢܥܘܡ ܦܐܝܩ		ܡܫܡܫܢܐ	ܡܫܰܡܫܳܢܐ ܢܰܥܘܡ ܦܰܐܝܩ	ܢܰܥܘܡ ܦܰܐܝܩ		ܡܫܰܡܫܳܢܐ		Other	ܢܥܘܡ ܦܐܝܩ	ܢܥܘܡ ܦܐܝܩ																																			ca. 1868.00.00-1930.00.00		1868		1930	1930	305	277
Fiey, Jean-Maurice	SRP	488	http://syriaca.org/person/488	NG			YES	http://viaf.org/hosted/syriac/26769					26769										http://viaf.org/viaf/110750364	http://worldcat.org/identities/lccn-n81-68542	http://viaf.org/viaf/73893063	http://viaf.org/viaf/192498058																				211. Fiey, Jean-Maurice	211	Fiey, Jean-Maurice	Jean-Maurice	Fiey			JW	TAC		1914	1914			1995	1995																																																																																																			1914.00.00-1995.00.00		1914		1995	1995	422	321
Furlani, Giuseppe	SRP	489	http://syriaca.org/person/489	NG			YES	http://viaf.org/hosted/syriac/35037					35037										http://viaf.org/viaf/46461868	http://worldcat.org/identities/lccn-no2003-117717	http://viaf.org/viaf/208377803																					212. Furlani, Giuseppe	212	Furlani, Giuseppe	Giuseppe	Furlani			JW	TAC		1885	1885			1962	1962																																																																																											Furlani, Joseph	Joseph	Furlani						1885.11.10-1962.12.17		1885-11-10		1962-12-17	1962	423	320
Gabriel bar Bokhtishoʿ	SRP	492	http://syriaca.org/person/492		NG		NO															AV																								215. Gabriel bar Bokhtishoʿ	215	Gabriel bar Bokhtishoʿ	Gabriel	bar Bokhtishoʿ			JW	TAC						827/8		0827	0828			827	828																																																								Abdisho						ܓܒܪܝܠ	ܓܒܪܝܠ			ܓܲܒܪܝܹܠ	ܓܲܒܪܝܹܠ			81	ܓܒܪܝܠ	ܓܒܪܝܠ							258	TAC																		827/8	425	
Gabriel of Baṣra	SRP	493	http://syriaca.org/person/493		NG		NO	http://viaf.org/viaf/284528109						Fl. late 9 C									http://viaf.org/viaf/64798964	http://viaf.org/viaf/34427297	http://viaf.org/viaf/205384276																					216. Gabriel of Baṣra	216	Gabriel of Baṣra	Gabriel		of Baṣra		JW	TAC										late 9th cent.																																																											Abdisho						ܓܒܪܝܠ ܕܒܨܪܐ	ܓܒܪܝܠ		ܕܒܨܪܐ	ܓܲܒܪܝܹܠ ܕܒܲܨܪܵܐ	ܓܲܒܪܝܹܠ		ܕܒܲܨܪܵܐ	78	ܓܒܪܐܝܠ ܕܒܨܪܐ	ܓܒܪܐܝܠ		ܕܒܨܪܐ	ܓܰܒܪܺܐܝܶܠ ܕܒܳܨܪܳܐ	ܓܰܒܪܺܐܝܶܠ		ܕܒܳܨܪܳܐ	202	TAC											Gabriel of Basra	http://www.csc.org.il/db/browse.aspx?db=SB&sL=G&sK=Gabriel of Basra&sT=keywords						late 9th cent.	426	
Gabriel Qamṣa	SRP	494	http://syriaca.org/person/494		NG		NO															AV																					NG	TAC		217. Gabriel Qamṣa	217	Gabriel Qamṣa	Gabriel		Qamṣa		JW	TAC						ca. 1300	1300																																																																																																								ca. 1300	427	
Gabriel Qaṭraya	SRP	495	http://syriaca.org/person/495		NG		NO	http://viaf.org/viaf/34153500						6/7 C									http://viaf.org/viaf/205629193																							218. Gabriel Qaṭraya	218	Gabriel Qaṭraya	Gabriel		Qaṭraya		JW	TAC										6th/7th cent.																																																											Abdisho						ܓܒܪܝܠ ܩܛܪܝܐ	ܓܒܪܝܠ		ܩܛܪܝܐ	ܓܲܒܪܝܹܠ ܩܸܛܪܵܝܵܐ	ܓܲܒܪܝܹܠ		ܩܸܛܪܵܝܵܐ	75	ܓܒܪܐܝܠ ܩܛܪܝܐ	ܓܒܪܐܝܠ		ܩܛܪܝܐ	ܓܰܒܪܺܐܝܶܠ ܩܰܛܪܳܝܳܐ	ܓܰܒܪܺܐܝܶܠ		ܩܰܛܪܳܝܳܐ	172	TAC											Gabriel	http://www.csc.org.il/db/browse.aspx?db=SB&sL=G&sK=Gabriel&sT=keywords						6th/7th cent.	428	
Gabriel, Fawlos	SRP	490	http://syriaca.org/person/490		NG		NO	http://viaf.org/viaf/80447044															http://viaf.org/viaf/211867660	http://viaf.org/viaf/22006887																						213. Gabriel, Fawlos	213	Gabriel, Fawlos	Fawlos	Gabriel			JW	TAC		1912	1912			1971	1971																																																																																																								1971	424	
Galen	SRP	496	http://syriaca.org/person/496	NG			YES	http://viaf.org/hosted/syriac/32713					32713										http://viaf.org/viaf/44299175	http://worldcat.org/identities/lccn-n79-59644	http://viaf.org/viaf/238016028	http://viaf.org/viaf/215405178	http://viaf.org/viaf/88691611	http://viaf.org/viaf/28080859																		219. Galen	219	Galen	Galen				JW	Mentioned on p.187 - TAC						ca. 199	0199																														161	جالينس	جالينس			TAC																		ܓܐܠܝܢܘܣ	ܓܐܠܝܢܘܣ			ܓܰܐܠܝܺܢܘܽܣ	ܓܰܐܠܝܺܢܘܽܣ				Barsoum																																		Need to enter Arabic - TAC 9/17/2012	Galen	http://www.csc.org.il/db/browse.aspx?db=SB&sL=G&sK=Galen&sT=keywords	129.00.00-199.00.00		0129		0199	ca. 199	429	319
Gewargis I	SRP	501	http://syriaca.org/person/501		NG		NO										Not the same as Giwargis of Bʿeltan (http://syriaca.org/person/139).	http://syriaca.org/person/139				AV																								224. Gewargis I	224	Gewargis I	Gewargis		I		JW	TAC						680/1		0680	0681			680	681																																																								Abdisho	ܓܝܘܪܓܝܣ	ܓܝܘܪܓܝܣ				ܓܝܘܪܓܝܣ ܩܬܘܠܝܩܐ	ܓܝܘܪܓܝܣ		ܩܬܘܠܝܩܐ	ܓܝܼܘܲܪܓܝܼܣ ܩܵܬܘܿܠܝܼܩܵܐ	ܓܝܼܘܲܪܓܝܼܣ		ܩܵܬܘܿܠܝܼܩܵܐ	74	ܓܝܘܪܓܝܣ ܩܬܘܠܝܩܐ	ܓܝܘܪܓܝܣ		ܩܬܘܠܝܩܐ					149	TAC					George I	George		I										680/1	432	
Gewargis of Arbela	SRP	502	http://syriaca.org/person/502	NG			YES	http://viaf.org/hosted/syriac/28820					28820	10 C. I included a link to http://viaf.org/viaf/46862626 but I'm not sure if I should b/c, while the titles and dates of this record are correct, the record attributes a work to him that should be attributed to Pseudo-Gewargis of Arbela (see GEDSH 176). 		discuss			Should the record http://viaf.org/viaf/46862626 be matched with this one even though it attributes a work to him that should be attributed to Pseudo-Gewargis of Arbela (see GEDSH 176)?				http://viaf.org/viaf/16750170	http://worldcat.org/identities/lccn-nb2006-22897	http://viaf.org/viaf/192262120	http://viaf.org/viaf/188870776	http://viaf.org/viaf/46862626																			225. Gewargis of Arbela	225	Gewargis of Arbela	Gewargis		of Arbela		JW	TAC										10th cent.																																																																																								George of Arbela	George		of Arbela			George of Arbela	http://www.csc.org.il/db/browse.aspx?db=SB&sL=G&sK=George of Arbela&sT=keywords	00.00.00-987.00.00				0987	10th cent.	433	318
Gewargis of Arbela, Pseudo-	SRP	503	http://syriaca.org/person/503		NG		NO															AV																								226. Gewargis of Arbela, Pseudo-	226	Gewargis of Arbela, Pseudo-	Gewargis		of Arbela, Pseudo-		JW	TAC										9th cent.?																																																																																								George of Arbela, Pseudo-	George		of Arbela, Pseudo-			Pseudo-George of Arbela	http://www.csc.org.il/db/browse.aspx?db=SB&sL=P&sK=Pseudo-George of Arbela&sT=keywords						9th cent.?	434	
Gewargis Warda	SRP	504	http://syriaca.org/person/504		NG		NO	http://viaf.org/viaf/89433414						13 C?							http://viaf.org/viaf/299383749																									227. Gewargis Warda	227	Gewargis Warda	Gewargis	Warda			JW	TAC										13th cent.?																																																																																								George Warda	George	Warda				George Warda	http://www.csc.org.il/db/browse.aspx?db=SB&sL=G&sK=George Warda&sT=keywords						13th cent.?	435	
Giwargi, bp. of the Arab tribes	SRP	122	http://syriaca.org/person/122	JW			YES	http://viaf.org/hosted/syriac/32274					32274										http://worldcat.org/identities/np-georgios$al hira	http://viaf.org/viaf/88628511	http://viaf.org/viaf/205658491																							Giwargi, bp. of the Arab tribes	Giwargi		bp. of the Arab tribes			in barsoum																														118	354	Mar George, bishop of the Arabs	Mar George, bishop of the Arabs	George		Mar, bishop of the Arabs	308	مار جرجس اسقف العرب	جرجس		مار , اسقف العرب	JK			725	0725													337	ܡܪܝ ܓܘܪܓܝ ܐܦܝܣܩܘܦܐ ܕܥܡܡ̈ܐ	ܓܘܪܓܝ		ܡܪܝ ܐܦܝܣܩܘܦܐ ܕܥܡܡ̈ܐ	ܡܳܪܝ ܓܶܘܰܪܓܝ ܐܶܦܝܣܩܘܦܳܐ ܕܥܰܡܡ̈ܐ	ܓܶܘܰܪܓܝ		ܡܳܪܝ ܐܶܦܝܣܩܘܦܳܐ ܕܥܰܡܡ̈ܐ		Other	ܓܘܪܓܝ ܐܦܝܣܩܘܦܐ ܕܥܪ̈ܒܝܐ	ܓܘܪܓܝ		ܐܦܝܣܩܘܦܐ ܕܥܪ̈ܒܝܐ																									George, bp. of the Arab tribes	George		bp. of the Arab tribes			George, bishop of the Arabs	http://www.csc.org.il/db/browse.aspx?db=SB&sL=G&sK=George, bishop of the Arabs&sT=keywords	640.00.00-725.00.00		0640		0725	725	122	23
Giwargis II, Ignatius	SRP	505	http://syriaca.org/person/505		NG		NO							Patr. 1687-1708 Moved "son of ʿAbd al-Karīm" from Barsoum titles to family name - TAC Should "Ignatius" precede "Giwargis"? - TAC		Discuss what to do with "Patr. (1687-1708)"						AV																					NG	TAC		229. Giwargis II, Ignatius	229	Giwargis II, Ignatius	Ignatius Giwargis		II		JW	Mentioned on p.549 - TAC		1648	1648			1708	1708																										Patriarch George II, son of ʿAbd al-Karīm of Mosul	George	son of ʿAbd al-Karīm	Patriarch, II, of Mosul	495	البطريرك جرجس الثاني ابن عبدالكريم الموصلي	جرجس	ابن عبدالكريم	البطريرك, الثاني الموصلي	TAC																		ܦܛܪܝܪܟܐ ܓܘܪܓܝܣ ܬܪܝܢܐ ܒܪ ܥܒܕ ܐܠܟܪܝܡ ܡܘܨܠܝܐ	ܓܘܪܓܝܣ	ܒܪ ܥܒܕ ܐܠܟܪܝܡ	ܦܛܪܝܪܟܐ, ܬܪܝܢܐ ܡܘܨܠܝܐ	ܦܰܛܪܝܰܪܟܳܐ ܓܶܘܰܪܓܝܣ ܬܪܰܝܳܢܐ ܒܰܪ ܥܰܒܕ ܐܠܟܪܝܡ ܡܘܨܠܳܝܐ	ܓܶܘܰܪܓܝܣ	ܒܰܪ ܥܰܒܕ ܐܠܟܪܝܡ	ܦܰܛܪܝܰܪܟܳܐ, ܬܪܰܝܳܢܐ ܡܘܨܠܳܝܐ		Other	ܓܘܪܓܝܣ ܬܪܝܢܐ	ܓܘܪܓܝܣ ܬܪܝܢܐ		ܬܪܝܢܐ																														Need to enter Arabic - TAC 9/17/2012								1708	436	
Giwargis of Bʿeltan	SRP	139	http://syriaca.org/person/139		JW	JW	YES	http://viaf.org/hosted/syriac/37051					37051				Not the same as Gewargis I (http://syriaca.org/person/501).	http://syriaca.org/person/139					http://en.wikipedia.org/wiki/Patriarch_George_of_Antioch																							230. Giwargis of Bʿeltan	230	Giwargis of Bʿeltan	Giwargis		of Bʿeltan		JW															Patr. 758–789	758	0758			789	0789										138	369	Mar George I, Patriarch of Antioch	Mar George I, Patriarch of Antioch	George 		I, Mar, Patriarch of Antioch	322	مار جاورجي الاول بطريرك انطاكية	جاورجي		مار , الاول ,  بطريرك انطاكية	JK			790	0790													351	ܡܪܝ ܓܘܪܓܝ ܩܕܡܝܐ ܦܛܪܝܪܟܐ ܕܐܢܛܝܘܟܝܐ	ܓܘܪܓܝ		ܡܪܝ ܩܕܡܝܐ ܦܛܪܝܪܟܐ ܕܐܢܛܝܘܟܝܐ	ܡܳܪܝ ܓܶܘܰܪܓܝ ܩܰܕܡܳܝܳܐ ܦܰܛܪܝܰܪܟܐ ܕܐܰܢܛܝܘܟܺܝܰܐ	ܓܶܘܰܪܓܝ		ܡܳܪܝ ܩܰܕܡܳܝܳܐ ܦܰܛܪܝܰܪܟܐ ܕܐܰܢܛܝܘܟܺܝܰܐ		Other	ܓܘܪܓܝ ܩܕܡܝܐ	ܓܘܪܓܝ		ܩܕܡܝܐ																									George of Bʿeltan	George		of Bʿeltan		Add GEDSH data to VIAF - TAC 2/25/2013	George of Beeltan	http://www.csc.org.il/db/browse.aspx?db=SB&sL=G&sK=George of Beeltan&sT=keywords	00.00.00-790.00.00				0790	758	139	109
Graffin, François	SRP	508	http://syriaca.org/person/508	NG			YES	http://viaf.org/hosted/syriac/26150					26150										http://viaf.org/viaf/120697473	http://worldcat.org/identities/lccn-n83-68541	http://viaf.org/viaf/153198683	http://viaf.org/viaf/49239890																				232. Graffin, François	232	Graffin, François	François	Graffin			JW	TAC		1/1/1905	1905-01-01			12/4/2002	2002-12-04																																																																																											Graffin, Francis	Francis	Graffin						1905.01.01-2002.12.04		1905-01-01		2002-12-04	12/4/2002	438	317
Graffin, René	SRP	509	http://syriaca.org/person/509	NG			YES	http://viaf.org/hosted/syriac/29599					29599										http://viaf.org/viaf/38981186	http://worldcat.org/identities/lccn-no97-40715	http://viaf.org/viaf/169870398																					233. Graffin, René	233	Graffin, René	René	Graffin			JW	TAC		1858	1858			1941	1941																																																																																																			1858.03.22-1941.01.03		1858-03-22		1941-01-03	1941	439	316
