	Syriaca ID	Syriaca match notes	Work?	Anon?	Group?	ID	CHK	Century	certainty	VIAF ID	URL1	URL2	URL3	URL4	Born	Died	Flourished	Denomination	Baumstark (p)	Macuch	Barsaum (#)	Abuna (p) 1st ed.	Pat Syr §	Duval (p)	BO (vol p)	Chabot (p)	Wright (p)	Brock (p) Rev. ed.	English	French	German Full	German Given	German Family	German Titles	Baumstark Questions/Notes	Latin	Locations	Affiliations	Offices	Known associates	Biographical Sources
Masʿud of Ṭur ʿAbdin	279					252	x	15-16								1512		W	327	16-17	272							71											Patriarch of Tur Abdin		
Jacob I, Ibn al Muzawwaq	280					497	x	15-16								1517		SyrOrth		22	273																		Patriarch of Antioch		
Gregory Joseph IV the Iberian of Jerusalem	281					498	x	15-16								1537		SyrOrth		22	274																				
Abd al-Ghani al-Mansuri	283					499	x	16								1575		SyrOrth	329	23	275																		Maphrian of the East		
Jacob of Qastro d-Qasro	284					518	x	16								1575		Syr Orth		23	999																				See Dolabani, Syr trans of Barsoum, no. 291
Niʿmatullah, Ignatius	285					255	x	16								1587		SyrOrth		23	276																		Patriarch		
John (Iwannis) Wanki	286					500	x	16-17								1624		SyrOrth		23-24	277																				
John ibn Ghurayr	287					501	x	17								1684		SyrOrth		24-25	278																		Bishop of Damascus		
Hidayat Allah of Khudayda	288					502	x	17								1693		SyrOrth		25	279																		Bishop in Malabar		
Isaac ʿAzar	289					248	x	17-18																																	
Ignatios Isaac bar Maqdisi Azar	289					503	x	17-18								1724		SyrOrth		25	280																		Patriarch		
John of Beth Sbirina	290					505	x	17-18								1729		SyrOrth		25-26	281																				
Basilios Shem'un of Tur Abdin	291					276	x	18								martyred 1740		SyrOrth		26								71							Not located in Baumstark on p.282 or elsewhere				Maphrian		
Abdisho of Qusur	292					506	x	17-18								1750		SyrOrth		27	283																				
Shukr Allah of Aleppo	294					507	x	18								1764		SyrOrth		27	285																		Maphrian of Malabar		
Jacob of Qutrubul	295					508	x	18								1783		SyrOrth		27-28	286																				
Lahda of Habbob	296					519	x	18										Syr Orth		28	999																				See Dolabani, Syr trans of Barsoum, no. 303
Jacob Mirijan	297					509	x	18-19								1804		SyrOrth		28	287																		Bishop of Midyat		
John al-Bustani of Manimim	298					510	x	18-19								1825		SyrOrth			288																		Bishop of Hbab		
Cyril George of Azekh	300					511	x	19								1847		SyrOrth			289																		Bishop of Azekh		
Philoxenus Zaytun of Inhil	301					512	x	19								1855		SyrOrth			290																		Bishop of Midyat		
Naʿum Fa'yeq	304																											72													
Saka, Yaʿqub	305					258	x	19-20								1931		Syr Orth			293																				
Aba I	306					224	x	6								11/29/0552		E	119-120				57			53-54				Mar Aba						Mar Aba I, Katholikos	Tigris, Nisibis, Edessa, Palestine, Egypt, Greece, Constantinople, Alexandria, Kashkar,Rewardashir, Bet Lapat, Aderbayjan, Seleucia-Ctesiphon [PS]; Hirta [C]	School of Nisibis, School at Seleucia-Ctesiphon [PS]	Catholicos [PS]	Sergius, Thomas of Edessa [PS]	
Aba of Kashkar	307					336	x	6-7										E	123-124																						
Aba II of Kashkar	307					225	x	7-8							641	751		E	214-215				105													Mar Aba II Katholikos	Kashkar, Seleucia-Ctesiphon [PS]		Bishop, Catholicos [PS]	Emir Yusuf ibn Omar aṭ-Ṭaqafi [PS]	
Aba	308					3	x	4										S	66		10		25			53-54	38				Àb(h)ā	Àb(h)ā				Aba				Disciple of Ephrem [PS]	
ʿAbdishoʿ bar Bahrīz	309					226	x	9										E	287							119				Edebjesus bar Bahriz							Arbele, Mosul [C]		Metropolitan of Arbele and Mossul [C]		
ʿAbdishoʿ bar Brikha	310					1	x	13-14	yes	5985460	http://viaf.org/viaf/5985460					1318 [PS]		E [PS]	323-325				161			139-141		69	Ebedjesus of Ṣobā	Ebedjesus de Nisibe						Abdisho Bar Berika seu Ebedjesu Sobensis	Nisibis [PS], Singar, Beit Arbaye, Nisibis, Armenia [C]		Metropolitan [C]		
ʿAbdishoʿ IV John of Gazarta	311					227	x	16								1567 [Teule]; 11.9.1570 [Macuch]		Chald	333	38-39		519-522													Baumstark identifies with ʿAbdishoʿ bar John						
Abgar, the hagiographer	315					228	x	5																																	
Abraham bar Dashandad	317					7	x	8									Mid 8th [B]	E [B]	214				104			105		52		Abraham bar Daschandad						Abrahm bar Dashandad	Beth Sayyade, Marga, Mosul,	School of Bashosh, Monastery of Mar Gabriel, (later, thanks to his fame, known as Mar Abraham and Mar Gabriel'). [B]	Head of the School of Bashosh	Timothy I and Isho' bar Nun, John (his brother) [B]; Disciple of Babai of Gebilta [C]	
Abraham bar Lipeh of Beth Qatraye	318					8	x	7									Mid 7th [B]	E	201				97			59-60		45		Abraham bar Lipheh						Abraham bar Lipeh	Qatar				
Abraham of Beth Rabban	319					9	x	6										E	115				54													Abraham de Beth Rabban	Nisibis [PS]	School of Nisibis [PS]	Head of School of Nisibis, Monk [PS]	Narsai [PS]	
Abraham of Kashkar	320					10	x	6	yes	53976016	http://viaf.org/viaf/53976016				503 [PS]	Jan 8, 588 [PS]		E [PS]	130-131				72			52-53				Abraham						Abraham e Kashkar	Ḥīrtā, Scetis, Nisibis, Mt. Izla [PS]	School of Nisibis, Great Monastery on Mt. Izla [PS]	Missionary, Monk, Founder of Great Monastery [PS]		
Abraham of Nathpar	321					11	x	6-7									7th [PS]	E	131-132				74		I.463-64	57	111-12	38	Abraham of Nathpar	Abraham de Nathpar						Abraham de Nathpar	Nephtar, Egypt, Palestine [PS]; Adiabene [C]	Pachomian monasteries, Monastic settlements in Palestine [PS]			
Aḥîqàr	323		SK	SK				7 bc											11												Aḥîqàr										
Aḥob of Beth Qatraye	324					231	x	6										E	131-132																						
Aḥudemmeh	325						x	6	yes	45521124, 89786411	http://viaf.org/viaf/45521124	http://viaf.org/viaf/89786411				575? [B] [PS] [C]		W	178				116			77		38		Ahoudemmeh						Ahudemmeh					
Aitallaha	326					17	x	5										S	31				21								 Bischof Ait(h)allàhā 	 Ait(h)allàhā 		Bischof		Aithallah	Edessa, Nicea [PS]	Council of Nicea [PS]	Bishop [PS]		
Acacius of Seleucia	338					13	x	5								496 [PS]		E	109				52			51-52	59-60			Acace						Acacius (Aqaq) Katholikos	Seleucia-Ctesiphon [PS]		Catholicos of Seleucia-Ctesiphon [PS]		
Aristeides	341																		76												Aristeides	Aristeides									
J S Assemani	349																		32												J S Assemani	J S	Assemani								
Assemani, Joseph Simon	349					233	x	17-18							1687	1768		Maron	343	61-63		656-658																			
St Ev Assemani	350																		32												St Ev Assemani	St Ev	Assemani								
Athanasios	354																		75/ 81-82												Athanasios										
Toma Audo	355																											71													
Babai the Great	359					27	x	6-7	yes	76706750, 17326337	http://viaf.org/viaf/76706750	http://viaf.org/viaf/17326337			c.551 [B]; 550 [PS]	c.628 [B]		E	137-139				81			60-61		41-42		Babai l'Ancien						Babaj Magnus	Beth'Ainatha, Nisibis, Mt. Izla [B]; Bēt Zabday [PS]	School of Nisibis, 'Great Monastery' on Mount Izla [B]; Xenodochian of Nisibis [C]	Superior of 'Great Monastery' [B]; Tea cher at School of Nisibis [PS]	Abraham of Bēt Rabban, Dadīšō‘, [PS]	
Babai of Nisibis	360					30	x	6-7										E	132				75			60				Babai le nisbien						Babaj Bar Nesibnaje	Nisibis [PS]	Great Monastery' on Mt. Izla [PS]	Founder of Great Monastery [PS]	Abraham of Kashkar [PS]	
Ishoʿ bar Ali	364					33	x	10-11	yes	88939764	http://viaf.org/viaf/88939764					3/28/1001		E	241-242				160			112-113				Bar Ali										Disciple of Honein [C]	
Abu-l-Ḥasan bar Bahlul	365					34	x	10	yes	70463615, 118817878	http://viaf.org/viaf/70463615	http://viaf.org/viaf/118817878						E	241-242				160			116-117				Bar Bahloul							Awana, Tirhan, Bagdad [C]	School of Bagdad [C]	Teacher of School of Bagdad [C]		
Barḥadbshabba of ʿArbaya	367					38	x	6-7									c.600	E	136				66					40								Barhadbeshabba de Arbaia	Nisibis, Beth 'Arabaye [B]	School of Nisibis [B]	Professor at the School of Nisibis [B]		
Barṣawma of Nisibis	369					234	x	5								ca. 491-96		E	108-109				48		II.1-10	50	65-66			Barsauma						Bar Sauma Nisibenus	Bet Qardu, Bet Lapat, Bēt ‘Adray  [PS]		Bishop of Nisibis [PS]	Samuel; Hiba, Acacius (old friend and his fellow student) [PS]	
Ephrem Barsaum	372																											72													
Basilios Gewargis	375					236	x	18								1748																									
Basileios	376																		75/ 78-79												Basileios	Basileios									
Katholikos Dàd(h)îšôʿ	433																		55												Katholikos Dàd(h)îšôʿ	Dàd(h)îšôʿ		Katholikos							
Dadishoʿ of Beth Qatraye	434					52	x	7										E [B]	226-227				88					47	Dadīšō‘ Qaṭrāyā	Dadjesus						Dadisho' (Dadjesu) e Beth Qatraje	Beth Qatraye [B]	Monastery of Rabban Shabur [B]; Monasteries of Rabkennārē, the Apostles [PS]	Monk [PS]		
Damianos of Alqosh	436					238	x	19								1858; 1855 [Macuch]		Chald		103-104		540-541																			
Daniel bar Maryam	438					54	x	7										E	207							101				Daniel bar Maryam											To be identified with Daniel bar Tubanitha.
Denḥa	444					387	x	8										E	220		159																				Barsaum's info seems to indicate the Esyr writer
Philoxenos Yuhanon Dolabani	454																											72													
Stephen ad-Duwayhi	460					530	x	17-18							1630	1704		Maron		57-58		651-653																			
Eli of Qarṭmin	465					241	x	13										W																							A. De Halleux, Ēlī de Qartamīn: Mēmrā sur S. Mār Philoxène de Mabbog (CSCO 233-234; 1963).
Ghattas Maqdasi Elyas	466																											72													
Elishaʿ bar Quzbaye	467					242	x	6										E	114-115																						
Elijah I of Tirhan	468					64	x	11								1049		E	286-287							119				Elias de Tirhan							Tirhan [C]	Monastery of Mossul [C]	Bishop, Patriarch [C]		
Elijah of Anbār	471					68	x	10									First half of 10th [B]	E [B]	237-238							115		60		Elias d'Anbar							Anbar [B]		Bishop [B]		
Elijah of Nisibis	472					69	x	10-11							11 Feb 975 [B]; 975 [PS] [C]	18 July 1046 [B]; After 1049 [PS] [C]		E	287-288				159			118		61	Eli bar Shinaya	Elias de Nisibe						Elias Bar Sinaja	Shenna, Beth Nuhadra, Nisibis [B]	Monastery of Mar Michael [B]	Bishop, Metropolitan [B]; Monk		
Emmanuel bar Shahhare	473					70	x	10								980 [C]	Second half of 10th [B]	E [B]	238-239							117		61		Emmanuel bar Schahare							Mossul [C]	Monastery of Mar Gabriel [C]		Ebedisho (brother) [C]	
ʿEnanishoʿ	474					71	x	7	yes	97623044	http://viaf.org/viaf/97623044							E	201-203				98			100-101				Anajesus						Enanisho monachus	Nisibis, Desert of Scetis, Mt Izla [PS]	School of Nisibis, Monastery of Bēt ‘Abē on Mt. Izla [PS]		Īšō‘yahb III [PS]	
Eusebios von Kaisareia	480																		58-60												Eusebios von Kaisareia	Eusebios		von Kaisareia							
Bischof Eusebios von Emesa	481																		58/ 60												Eusebios von Emesa	Eusebios		Bischof, von Emesa							
Euagrios	483																		84/ 86-88												Euagrios	Euagrios									
Paulos Gabriel	490																											72													
Gabriel bar Boktishoʿ	492					389	x	8-9								828		E	227																						
Gabriel of Basra	493					243	x	9										E	235																						
Gabriel Qamṣa	494					75	x	13-14										E	323							138-139				Gabriel Camsa							Mossul [C]		Metropolitan [C]		
Gabriel of Beth Qatraye	495					77	x	6-7										E	200-201				96					44								Gabriel de Beth Qatraje	Nisibis [PS]	School of Nisibis [PS]	Teacher at School of Nisibis [PS]	Ḥenānā (Pupil) [PS]	
George I	501					84	x	7								680/1		E	208				94			102				Georges						Georgius (Giwargis) I Katholikos	Kafra, Dirin [PS]; Adiabene [C]	Synod in Dirin [PS]; Monastery of Beit Abe [C]	Monk,Metropolitan, Patriarch [C]	Īšō‘yahb III [PS]	
George of Arbela	502					82	x	10										E	239							115-116				Georges de Mossul							Arbela [C]		Metropolitan of Arbele [C]		
George Warda	504					87	x	13	yes	37271665	http://viaf.org/viaf/37271665						First half of 13th [B]	E [B]	304-306							137-138		63		Georges Warda							Arbela [B]				
Gregorios von Nazianz	511																		75/ 77-78												Gregorios von Nazianz	Gregorios	 	von Nazianz							
Gregorios von Nyssa	512																		75/ 79-80												Gregorios von Nyssa	Gregorios		von Nyssa							
Gregorios Thaumaturgos	513																		76												Gregorios Thaumaturgos	Gregorios		Thaumaturgos							
Gregory I	514					90	x	7										E	128				69													Gregorius (Grigor) I, Katholikos	Perat, Seleucia-Ctesiphon	School of Seleucia-Ctesiphon [PS], Synod at Seleucia-Ctesiphon	Teacher and Exegete at school of  Seleucia-Ctesiphon, Catholicos [PS]		
Ezekiel the Catholicos	529					74	x	6										E	126				64													Ezechiel (Hazqiel) Katholicos	Zab, Seleucia-Ctesiphon [PS]	576 Synod of Seleucia-Ctesiphon [PS]	Bishop, Catholicos	Mar Aba I [PS]	
Ḥenana of Adiabene	530					92	x	6-7								610 [PS]		E	127				117			58-59				Henana						Henana	Adiabene, Nisibis	School of Paul; School of Nisibis [C]	Head of School of Paul	Abraham of Bet Rabban, Moses,	
Ḥenanišoʿ I (the Lame)	531					96	x	7								699/700 [PS]		E	209				99			103-104										Henanisho' I Katholikos	Nineveh [PS]; Near Mossul [C]	Monastery of Jonah [PS]	Catholicos [PS]; Patriarch [C]		
Ḥenanišoʿ II	532					380	x	8								779/80		E	215							106-107															
Ḥenanishoʿ bar Saroshwai	533					93	x	9										E	232							113				Henanjesus bar Seroschwai							Hirta [C]		Bishop of Hirta [C]		
Hiba (Ibas)	534					98	x	5	yes	15159910	http://viaf.org/viaf/15159910					Oct 28 457 [PS] [C]		W [PS]	101				34		I.199-207	47-49	49-51			Ibas						Ibas	Edessa	School of Persians [C]	Bishop of Edessa	Coumi, Probus [C]	
Ḥunain ibn Ishaq	542					97	x	9	yes	19690624	http://viaf.org/viaf/19690624				809/10	1.12.876		E	227-230							122				Honein							Hira, Bagdad, Alexandria, al-Moutawakil ?[C]	Caliph al-Moutawakil	Doctor [C]	John bar Maswai [C]	
Katholikos Jsḥaq	549																		54												Katholikos Jsḥaq	 Jsḥaq		Katholikos 							
Isaac of Ninevah	550					102	x	7									End of 7th [B]	E [B]	223-225				89		I.444-463	104-105	110-11	46-47	Isaac the Syrian [B]	Isaac de Ninive						Isaac Ninivita	Ninevah, Beth Qatraye, Mountains of Khuzistan [B]; Susiana [PS]; Beit Houzaye	Monastery of Rabban Shabur; Monastery of Beit Abe [C]	Bishop of Nineveh (Mosul)[B]; Monk [PS]		
Isaac Qardahe Shbadnaya	551					247	x	15									1439/40	E	330	33		511-512						71													
Ishoʿ bar Nun	552					108	x	8-9							c.744 [B]	1 Apr 828 [B] [PS]		E	219-220				154			109-110		55	Īšō‘ bar Nūn [PS]	Jesus bar Noun						Isho ' (Iesus) Bar Nun, Katholikos	Beth Gabarre, Seleucia Ctesiphon, Mount of Izla, Baghdad, Mosul [B]	School in Seleucia Ctesiphon, Monastery of Mar Abraham [B]; Monastery of Mar Elias [C]	Teacher at School of Seleucia Ctesiphon, Monk, Catholicos  [B]	Timothy I, Abraham bar Dashandad [B]	
Ishoʿ of Merw	553					392	x	9										E	232																						
Ishobokt of Rewardashir	554					381	x	8										E	215-216																						
Ishoʿdad of Merv	555					109	x	9	yes	68049266, 115597237, 9973396	http://viaf.org/viaf/68049266	http://viaf.org/viaf/115597237	http://viaf.org/viaf/9973396				Mid 9th [B]	E [B]	234				158			111-112		56-57		Jesudad de Merv						Isho' dad e Merw	Hdatta [B]		Bishop of Hdatta [B]		
Ishoʿdnaḥ of Basra	556					107	x	9									c.860 [B]	E [PS]	234				157			113		58		Jesudenah						Isho' Denah e Basra	Basra [C]		Bishop of Basra [C]		
Ishoʿyahb I	559					110	x	6								596 [PS]; 595 [C]		E	126				65			56				Jesuyab I						Isho'jahb I, Katholikos	Beth 'Arbaye, Nisibis , Arzon [PS]	School of Nisibis [PS]	Head of School of Nisibis, Bishop, Catholicos of Seleucia-Ctesiphon [PS]	Abraham [C]	
Ishoʿyahb II of Gdala	560					111	x	7								646 [B]; 644-646 [PS]; 644 [C]		E	195-196				82			96-97		43		Jesuyab II						Isho'jahb II, Katholikos	Gdala in Bet 'Arbaya, Nisibis, Balad, Beroea, Karkā d-Bēt Slōk  [PS]	School of Nisibis [PS]	Catholicos of the church of the East [B]; Bishop [PS]		
Ishoʿyahb III of Adiabene	561					112	x	7								659 [B]; 657-58 [PS]; 658 [C]		E [B]	197-198				86			99-100		45		Jesuyab III						Isho'jahb III, Katholikos	Nineveh, Arbela [B]; Adiabene, Seleucia-Ctesiphon, Bēt ‘Abē [PS]; Kouphlana, Nisibis	Monastery of Beth 'Abe [B]; School of Nisibis [PS]	Monk, Bishop of Nineveh, Metropolitan of Arbela, Catholicos [B]; Teacher at Monastery of Bēt ‘Abē [PS]	Jacob of Bēt ‘Abē [PS]	
Ishoʿyahb IV	562					249	x	11																																	W. C. van Unnik, Nestorian Questions on the Administration of the Eucharist, by Ishoʿyabh IV (1937; repr. 1970).
Ishoʿyahb (Joseph) bar Malkon	563					299	x	12-13										E	309							128				Joseph bar Malkon							Nisibis [C]		Metropolitan of Nisibis [C]		
Israel of Alqosh	566					250	x	16-17							1541	after 1610		E	334-335	48-49, 99		523-525																			
Iyob der Gefleckte	568																		230												Ajjûb der Gefleckte	Ajjûb		der Gefleckte							
Johannes Chrysostomos	573																		75/ 80-81												Johannes Chrysostomos	Johannes	Chrysostomos								
John Philoponos	576							6											162-163																						
Khamis bar Qardaḥe	587					151	x	13										E	321-322							138		69-70		Khamis bar Cardahe							Arbele [C]		Priest [C]		
Makarios	601																		85-86												Makarios	Makarios									
Màrā bar Serapion	614																		10												Màrā bar Serapion	Màrā	bar Serapion		ʿ						
Markianos	615																		84/ 90-91												Markianos	Markianos									
Markos	619																		84/ 91-92												Markos	Markos									
Bischof Meliton von Sardes	631							2-3											27												Bischof Meliton von Sardes	Meliton		Bischof, von Sardes							
Methodios	635																		76												Methodios	Methodios									
Michael Badoqa	637					165	x	6-7										E	129				70													Michael magister Nisibenus	Nisibis [PS]	School of Nisibis [PS]		Henanae [PS]	
Peter Mubarak	643					533	x	17-18							1633	1742		Maron		59-60																					
Moses of Mardin	646					170	x	16	yes	40276312, 63546299	http://viaf.org/viaf/40276312	http://viaf.org/viaf/63546299						Syr Orth		24					I.535												Mardin				
Naqqāsheh, Afram	649					253	x	19-20																																	
Narsai	650					172	x	5	yes	88042323, 41860630, 52493723	http://viaf.org/viaf/88042323	http://viaf.org/viaf/41860630	http://viaf.org/viaf/52493723		c.399 [B] [PS]	c.502 [B] [PS]		E	109-113				47			50-51?	58-59	29-30		Narses						Narsai (Narsetes)	Ain Dulba, Edessa, Nisibis [B] Mopsuestia; Maalta,	School of Nisibis, Monastery of Kefar-Mari, School of Edessa  [PS]	Head of school in Edessa [B]	Bishop Barsauma, Emmanuel (maternal uncle and head of sch. Of Nisibis), Theodulus, Hibā (Edessa’s duophysite bishop) [PS]	
Nathanael of Sirzor	651					173	x	6-7								628 [PS]; c.611 [C]		E	129-130				71			59				Nathanael						Nathanael (Natniel) ep. In Sirzor	Nisibis, Sirzor [PS]	School of Nisibis [PS]; Synod of 605 [C]	Bishop of Sirzor [PS]		
Nestorius of Beth Nuhadra	654					254	x	8										E	226																						
Neilos	657																		84/ 91												Neilos	Neilos									
Palladios	668																		92												Palladios	Palladios									
Job of Edessa	668					125	x	8-9	yes	73817160	http://viaf.org/viaf/73817160						Early 9th [B]	E [B]	230									55-56									Edessa [B]				
Papa bar ʿAggai	669					334	x	4										E	029-030												 Pàpā bar ʿAggai 	Pàpā	bar ʿAggai								NB Mostly (all?) spurious
Paul of Nisibis	673					176	x	6								571 [C]		E	120-121				58			52-53	122			Paul de Nisibe						Paulus Nisibenus	Arbela, Nisibis, Seleucia-Ctesiphon, Constantinople [PS]	School of Arbela, Synod of Seleucia-Ctesiphon [PS]; School of Ebedjesus [C]	Head of School of Arbela, Bishop of Nisibis [PS]	Abraham of Bet Rabban, Mar Aba [PS]	
Paul the Philosopher	675					257	x	6										E	121																						cf EDSH
Probus	686					279	x	5										E	102								64-65														
Cyrus of Edessa	697					51	x	6	yes	14300021, 27033945	http://viaf.org/viaf/14300021	http://viaf.org/viaf/27033945					2nd Quarter of the 6th	E	122				60			78		36		Cyrus						Cyrus (Qijore) Edessenus	Edessa, Hirta (al-Hira) [B}]	School of Seleucia-Ctesiphon, Monastery-school at Hirta (al-Hira) [B]	Director of School of Seleucia-Ctesiphon [B]; Teacher at School of Nisibis [PS]	Disciple of Mar Aba (Catholicos 540-552) [B]	
Rahmani	701																											72													
Sabrišoʿ I	708					185	x	6-7	yes	13937952	http://viaf.org/viaf/13937952					Sept 19, 604 [PS]; c.680 [C]		E	128				80			102			Rostam [C]	Sabarjesus						Sabrisho' I, Katholikos	Nisibis, Lashom, Seleucia-Ctesiphon [PS]; Herem	School at Nisibis, Synod of Seleucia-Ctesiphon [PS]; Monastery of Mount Izla, of Beit Abe, of Beit Koka [C]	Shepherd, Monk, Missionary Bishop, Catholicos [PS]		
Sabrišoʿ bar Paulos	709					282	x	12										E	290																						
Sahdona (Martyrius)	711					187	x	7	yes	39442444, 74281421, 119227715	http://viaf.org/viaf/39442444	http://viaf.org/viaf/74281421	http://viaf.org/viaf/119227715		Beginning of 7th [C]			E	221-222				90			98-99		42-43		Sahdona						Sahdona seu Martyrios	Halmon, Nisibis, Mt. Izla, Mahoze d-Arwan, Edessa [PS];  Apamee [C]	School of Nisibis, Monastery of Bēt ‘Abē [PS]	Bishop of Mahoze d-Arwan [PS]	Jacob of Beit Abe [C]	
Sergius bar Waḥle	717					259	x	15-16										E	330-331	35-36		513						71													
Ṣawma, Rabban	721					260	x	13-14										E	325-326																						
Shahdost of Tirhan	732					379	x	8										E	215																						
Shallita of Rishaina	734					374	x	8										E	213																						
Ṣharbokht bar Msargis	736					261	x	9																																	cf EDSH
Simeon of Rewardashir	740					201	x	7										E	206-207				93													Simeon e Rewardashir					
Simeon of Shanqlabad	741					202	x	12-13										E	310							128-129				Simeon de Schanklava							Schanklava [C]		Monk [C]		
Simeon d-Taibutha	742					195	x	7										E [B]	209-210									47	Shem'on d-Taybutheh [B]										Monk [B]	Rabban Shabur [B]	
Simeon the Stylite	744					204	x	4-5	yed	75503404	http://viaf.org/viaf/75503404				390 [PS]			W [PS]	060-061				36				55-56				Šemʿôn der Stylite	Šemʿôn 		der Stylite	 						
Solomon of Basra	745					207	x	13	yes	63735252	http://viaf.org/viaf/63735252						Early 13th [B]	E [B]	309							134		63		Salomon							Akhlat, Prath d-Maishan, or Basra [B]		Metropolitan [B]		
Shubḥalmaran of Karka de Beth Selok	746					196	x	6-7									Late 6th early 7th [B]	E	133				76					40	Shubhalemara Bishop in Karka d-Bet Slok [PS]							Shubhalemaran ep. in Karka de Beth Selok	Karka [PS]		Bishop of Karka [PS]		
Silvanus of Qardu	748					197	x	7	yes	72969377	http://viaf.org/viaf/72969377							E	197				85						Silvanus							Silvanus de Qardu				Rabban Hormizd [PS]	
Symmachus (2)	761					273	x	05-06 ?										W										35													Wrote conclusion to Syriac trans of Greg Nys comm on Song of Songs
Tatianos	771																172/3		19-21												Tatianos	Tatianos									
Theodore of Mopsuestia	780							5								428			102-104												Theodoros von Mopsuestia	Theodoros		von Mopsuestia							
Theodoret	781							5											106-107												Theodoretos	Theodoretos									
Theodore bar Koni	783					211	x	8		79040611, 53056147, 	http://viaf.org/viaf/79040611	http://viaf.org/viaf/53056147						E	218-219				155			107-108		53		Theodore bar Koni						Theodorus Bar Koni (Kewani)	Beth'Aramaye [B]	School of Kashkar [B]	Teacher at the School of Kashkar [B]		
Theophilus of Edessa	787					216	x	8								15.7.785		Maron	341-342			639-642			I.521	91			Chalcedonian, Maronite [C]	Theophile d'Edesse							Edessa [C]			Son of Thomas [C]	
Timothy I	790					220	x	8-9							c.728 [B]	823 [B]; Jan 9, 823 [PS] [C]		E	217-218				153			108-109		53-55		Timothee 1er						Timotheus I Katholikos	Hazza, Marga, Mosul, Beth Baghash [B]; Seleucia	School at Bashosh,nl Monastery  of Mar Gabriel [B]; Synods held in 790-791 and 804 [PS]	Bishop of Beth Baghash, Catholicos [B]	George bishop of Beth Baghash (uncle), Abraham bar Dashandad [B]	
Timothy II	791					221	x	14								1353		E	325							142		70		Timotee									Patriarch [C]		
Timothy Ailouros	793							5											162																						
Bischof Titos von Bostra	794																		58/ 60												Bischof Titos von Bostra	Titos		Bischof, von Bostra							
Thomas of Edessa	795					218	x	6									2nd Quarter of the 6th	E	121-122				59			54		36		Thomas d'Edesse						Thomas Edessenus	Nisibis [B]; Byzantium [PS]	School of Nisibis [B]	Teacher at School of Nisibis [B]	Pupil of Mar Aba [B]	
Thomas of Marga	796					217	x	9									Mid 9th [B]	E [B]	233-234				156			110-111		58		Thomas de Marga						Thomas Metropolita Margae	Marga [B]; Beit Garmai [C]	Monastery of Bēt ‘Abē [PS]	Bishop [B]; Monk, Metropolitan [PS]	Timothy I (brother); Abraham II [PS]	
Katholikos Jahb(h)allàhā I.	809																		55												Katholikos Jahb(h)allàhā I.	Jahb(h)allàhā		Katholikos, I.							
Joseph the Catholicos	812					146	x	6								575-6		E	124				62													Ioseph (Jauseph) Katholikos	Nisibis [PS]		Catholicos [PS]		
Joseph II of Telkepe	813	 				265	x	17							1667	1713 [Teule]; 1731 [Macuch]		E	330	42-44		531-533						71											Catholicos		
Joseph Ḥazzaya	816					147	x	8	yes	34520115	http://viaf.org/viaf/34520115						Mid 8th [B]; c.580 [C]	E [B]	222-223				92			97; 55-56		52		Joseph Hazzaya						Ioseph (Jauseph) Hazzaja (= Videns)	Bet Nuhadra [PS]; Curdistan [C]	Monastery of Abba Ṣlībā, Monastery of Mar Bassima, Monasteryof Rabban Boktīšō‘ [PS]	Monk, Abbot [PS]	Brother of Ebedisho [C]	
Joseph Huzaya	817					122	x	6										E [PS]	116-117				56													Iospeh (Jauseph) Huzaya	Bēt Hūzayē [PS]			Narsai [PS]	
Joseph bar Jemdani of Telkepe	818					326	x	16-17							1590	1666		E	335	99-100																					
John Azraq	819					126	x	8										E	210				100													Ioannes (Johannan) Azraq	Ḥirtā [PS]				
John V bar Abgare	820					268	x	9-10								16.5.905		E	235																				Catholicos		
John bar Penkaye	821					131	x	7										E [B]	210-211				101			105		47-48	Iohannan	Jean de Penek						Ioannes bar Penkaje	Penek [PS]	Monastery of Mar John of Kamul, Monastery ofMar Bassima [B]	Monk [B]		
John bar Serapion	822					269	x	8-9										E	231																						
John bar Zoʿbi	823					132	x	12-13										E	310-311							129		63		Jean bar Zoubi							Beit Koka [C]		Monk [C]		
John of Beth Rabban	824					270	x	6										E	115-116				55																		
John of Dailam	825					370	x	7-8								737/8		E	211																						
John of Dalyatha	826					135	x	8	yes	53264717, 97934783, 61956603	http://viaf.org/viaf/53264717	http://viaf.org/viaf/97934783	http://viaf.org/viaf/61956603				Mid 8th [B]	E [B]	225-226				106		I.433-44	106	109-10	51-52	Saba the Elder [PS]	Jean Saba de Dalyata						Ioannes e Daljata	N. Iraq, Mount Qardu [B]; Ardamout	Monastery of Yozadak,Monastery of Beit Dalyata  [C]	Monk [B]; Founder of Monastery of Beit Dalyata [C]		
John of Apamea	827					134	x	5	yes	101044787	http://viaf.org/viaf/101044787							W [PS]	166-167				41		I.430-33			25-26								John the Soliary	Apamea				
John of Mosul	828					140	x	13								1270 [C]		E	307							138				Jean de Mossul							Mossul [C]	Monastery of Saint-Michael [C]	Monk [C]		
John Sullaqa	829					124	x	16										Chald							I.523																
John Maron	832					328	x	07 -08							625	707		Maron	342																						
S. Julius Africanus	840																		76												S. Julius Africanus	Julius		S., Africanus							
